tc_id,title,source_sheet,source_row,area,menu_path,depth,entry_method,entry_evidence,text_input_required,focus_nav_required,mutation_suspected,baseline_screen_id,anchor_state,anchor_reason,confidence,recommended_probe
23.Settings#255.0,Settings / 배터리,23.Settings,260,배터리,설정 > 배터리 > 배터리 사용량 > 배터리 사용한 앱,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '배터리',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#259.0,Settings / 배터리,23.Settings,264,배터리,설정 > 배터리 > 절전 모드 > 절전모드 > 90%에 모드 끄기' 메뉴,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '배터리',0.3,PROBE_DEFER_MUTATION
23.Settings#260.0,Settings / 배터리,23.Settings,265,배터리,설정 > 배터리 > 절전모드 > 배터리 자동 조절,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '배터리',0.3,PROBE_DEFER_MUTATION
23.Settings#261.0,Settings / 배터리,23.Settings,266,배터리,설정 > 배터리 > 절전모드 > 배터리 잔량 비율 ON/OFF,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '배터리',0.3,PROBE_DEFER_MUTATION
23.Settings#262.0,Settings / 저장용량,23.Settings,267,저장용량,설정 > 저장용량 > 여유 공간 확보,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#263.0,Settings / 저장용량,23.Settings,268,저장용량,설정 > 저장용량 > 시스템,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#264.0,Settings / 저장용량,23.Settings,269,저장용량,설정 > 저장용량 > 앱,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#265.0,Settings / 저장용량,23.Settings,270,저장용량,설정 > 저장용량 > 휴지통,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#266.0,Settings / 저장용량,23.Settings,271,저장용량,설정 > 저장용량 > 문서 및 기타,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#267.0,Settings / 저장용량,23.Settings,272,저장용량,설정 > 저장용량 > 게임,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#268.0,Settings / 저장용량,23.Settings,273,저장용량,설정 > 저장용량 > 오디오,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#269.0,Settings / 저장용량,23.Settings,274,저장용량,설정 > 저장용량 > 동영상,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#270.0,Settings / 저장용량,23.Settings,275,저장용량,설정 > 저장용량 > 이미지,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '저장용량',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#274.0,Settings / 소리 및 진동,23.Settings,279,소리 및 진동,설정 > 소리 및 진동 > 전화 벨소리,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_sound,LEAF_LABEL_OBSERVED,"leaf label seen in d1 single-pass observation (label only, target not entered)",0.7,NO_ANCHOR_DEEPEN_NEEDED
23.Settings#276.0,Settings / 소리 및 진동,23.Settings,281,소리 및 진동,설정 > 소리 및 진동 > 미디어,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,True,settings_d1_sound,LEAF_LABEL_OBSERVED,"leaf label seen in d1 single-pass observation (label only, target not entered)",0.7,NO_ANCHOR_DEEPEN_NEEDED
23.Settings#277.0,Settings / 소리 및 진동,23.Settings,282,소리 및 진동,설정 > 소리 및 진동 > 진동 및 햅틱,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_sound,LEAF_LABEL_OBSERVED,"leaf label seen in d1 single-pass observation (label only, target not entered)",0.7,NO_ANCHOR_DEEPEN_NEEDED
23.Settings#278.0,Settings / 소리 및 진동,23.Settings,283,소리 및 진동,설정 > 소리 및 진동 > 진동 및 햅틱 off,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_sound,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
23.Settings#279.0,Settings / 소리 및 진동,23.Settings,284,소리 및 진동,설정 > 소리 및 진동 > 기본 알림 소리,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_sound,LEAF_LABEL_OBSERVED,"leaf label seen in d1 single-pass observation (label only, target not entered)",0.7,NO_ANCHOR_DEEPEN_NEEDED
23.Settings#280.0,Settings / 소리 및 진동,23.Settings,285,소리 및 진동,설정 > 소리 및 진동 > 기본 알람 소리,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_sound,LEAF_LABEL_OBSERVED,"leaf label seen in d1 single-pass observation (label only, target not entered)",0.7,NO_ANCHOR_DEEPEN_NEEDED
23.Settings#281.0,Settings / 소리 및 진동,23.Settings,286,소리 및 진동,설정 > 소리 및 진동 > 다이얼 패드 효과음 ON/OFF,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,True,settings_d1_sound,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_DEFER_MUTATION
23.Settings#282.0,Settings / 소리 및 진동,23.Settings,287,소리 및 진동,설정 > 소리 및 진동 > 화면 잠금 소리 ON/OFF,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,True,settings_d1_sound,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_DEFER_MUTATION
23.Settings#283.0,Settings / 소리 및 진동,23.Settings,288,소리 및 진동,설정 > 소리 및 진동 > 충전 소리 및 진동 ON/OFF,2,DEEPLINK_CANDIDATE,baseline launched android.settings.SOUND_SETTINGS (d1 candidate; leaf unconfirmed),False,False,True,settings_d1_sound,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_DEFER_MUTATION
