tc_id,baseline,tier0,tier1,tier2,tier0_screen,tier0_focus_candidate,tier0_adjudicate,optimistic_upper_bound
ALTBASIC_CAM_146,False,False,False,False,False,False,False,False
ALTBASIC_CAM_147,False,False,False,False,False,False,False,False
ALTBASIC_CAM_157,False,False,False,False,False,False,False,False
ALTBASIC_CAM_158,False,False,False,False,False,False,False,False
ALTBASIC_CAM_163,False,False,False,False,False,False,False,False
ALTBASIC_CAM_164,False,False,False,False,False,False,False,False
ALTBASIC_CAM_166,False,False,False,False,False,False,False,False
ALTBASIC_CAM_167,False,False,False,False,False,False,False,False
ALTBASIC_CAM_174,False,False,False,False,False,False,False,False
ALTBASIC_CAM_175,False,False,False,False,False,False,False,False
ALTBASIC_CLK_001,False,False,False,False,False,False,False,False
ALTBASIC_CLK_002,False,True,True,True,True,True,True,True
ALTBASIC_CLK_003,False,False,False,False,False,False,False,False
ALTBASIC_CLK_004,False,False,False,False,False,False,False,False
ALTBASIC_CLK_005,False,False,False,False,False,False,False,False
ALTBASIC_CLK_009,False,False,False,False,False,False,False,False
ALTBASIC_CLK_010,False,False,False,False,False,False,False,False
ALTBASIC_CLK_015,False,False,False,False,False,False,False,False
ALTBASIC_CLK_017,False,False,False,False,False,False,False,False
ALTBASIC_CLK_018,False,False,False,False,False,False,False,False
ALTBASIC_CLK_019,False,False,False,False,False,False,False,False
ALTBASIC_CLK_026,False,False,False,False,False,False,False,False
ALTBASIC_VRC_001,False,False,False,False,False,False,False,False
ALTBASIC_RAD_017,False,False,False,False,False,False,False,False
ALTBASIC_MGN_001,False,False,True,True,False,False,False,True
ALTBASIC_MGN_002,False,False,False,False,False,False,False,False
ALTBASIC_MGN_005,False,False,False,True,False,False,False,True
ALTBASIC_MGN_006,False,False,False,True,False,False,False,True
ALTBASIC_PDM_040,False,False,True,True,False,False,False,True
ALTBASIC_PDM_041,False,False,True,True,False,False,False,True
ALTBASIC_PDM_042,False,False,True,True,False,False,False,True
ALTBASIC_PDM_043,False,False,True,True,False,False,False,True
ALTBASIC_PDM_044,False,False,True,True,False,False,False,True
ALTBASIC_PFW_010,False,False,False,False,False,False,False,True
ALTBASIC_PFW_011,False,False,False,False,False,False,False,True
ALTBASIC_PFW_013,False,False,False,False,False,False,False,False
ALTBASIC_PFW_014,False,False,False,False,False,False,False,False
ALTBASIC_PFW_015,False,False,False,False,False,False,False,False
ALTBASIC_PFW_022,False,False,False,False,False,False,False,False
ALTBASIC_SST_008,False,False,True,True,False,False,False,True
ALTBASIC_SST_012,False,False,False,False,False,False,False,False
ALTBASIC_SST_013,False,False,False,False,False,False,False,True
ALTBASIC_SST_014,False,False,True,True,False,False,False,True
ALTBASIC_SST_015,False,False,True,True,False,False,False,True
ALTBASIC_SST_016,False,False,False,False,False,False,False,False
